Category,Product Name,MRP,Selling Price,Discount%,Tag,Rating Count,Brand Name,Rating Count (K/M)
Baby Care,gritzo supermilk growth+ (formerly height+) (13+y,1850,1699,21,No Tag,12,Gritzo,12
Baby Care,baby forest nikhrae kesh baby shampoo,499,795,20,No Tag,19,BABY,19
Baby Care,soulflower rosemary lavender baby hair oil,325,261,66,No Tag,1,Soulflower,1
Baby Care,whimsy beauty glowing skin essential kit,600,1462,18,No Tag,4,Whimsy,4
Baby Care,renee cosmetics princess renee disney,430,399,30,No Tag,67,Renee,67
Baby Care,chicco toothpaste - mixed fruit flavour,530,179,25,No Tag,7,Chicco,7
Baby Care,beautiliss silicone body scrubber bath brush,110,110,0,No Tag,11,Beautiliss,11
Baby Care,parachute advansed baby massage oil,492,492,0,No Tag,4,Parachute,4
Baby Care,bronson professional face washing microfiber absorbent,300,300,0,No Tag,132,Bronson,132
Wellness,orimii belly treatment elixir - body,695,626,10,No Tag,86,Orimii,86
Wellness,chicnutrix glow - japanese glutathione &,695,1980,10,No Tag,2431,Chicnutrix,2.4K
Wellness,orimii bump hydrating body butter,2447,626,20,No Tag,95,Orimii,95
Wellness,glutone 1000 setria l-glutathione & vitamin,1199,1958,25,No Tag,374,Glutone,374
Wellness,mountainor l glutathione tablets korean,1959,899,6,No Tag,4134,Mountainor,4.1K
Wellness,"vit c body oil brightening,",2199,1350,13,No Tag,57,Vit,57
Wellness,oziva advanced hair growth activesreduces thinning,999,1849,5,No Tag,118,Oziva,118
Wellness,"wellbeing nutrition glow collagen peptides, reduces",3036,1913,28,No Tag,290,Wellbeing,290
Wellness,wellbeing nutrition slow triple strength omega,1050,949,24,No Tag,52,Wellbeing,52
Wellness,healthkart hk vitals glutathione vitamin,4249,2199,15,No Tag,37,HealthKart,37
Wellness,"oziva bioactive gluta fizzy (l-glutathione), reduce",650,799,16,No Tag,162,OZiva,162
Wellness,forest essentials lime saffron & oudh,700,1950,29,No Tag,53,Forest,53
Wellness,forest essentials lime saffron & oudh,2500,1950,16,No Tag,53,Forest,53
Wellness,optimum nutrition (on) gold standard 100%,279,3597,14,No Tag,1834,Optimum,1.8K
Wellness,plix glutathione skin glow 15 effervescent,1450,549,18,No Tag,874,Plix,874
Wellness,wishcare pure cold pressed natural unrefined,497,497,0,No Tag,1502,WishCare,1.5K
Wellness,nutrova pea protein - unflavoured,2100,2100,0,No Tag,107,Nutrova,107
Wellness,miduty liposomal glutathione 40% anti aging,1422,1422,0,No Tag,1452,Miduty,1.5K
Wellness,kapiva virgin coconut oil (cold pressed),240,240,0,No Tag,3257,Kapiva,3.3K
Wellness,vigini bust firming breast enlargement tightening,525,467,11,No Tag,809,Vigini,809
Wellness,miduty liver detox milk thistle,2100,1333,29,No Tag,109,Miduty,109
Wellness,plix apple cider vinegar effervescent tablets,699,1499,20,No Tag,952,Plix,952
Wellness,cos-iq stretch marks removal roll-on serum,849,559,5,No Tag,161,Cos-IQ,161
Wellness,miduty pigment clear glutathione hyaluronic acid,1518,2428,18,No Tag,56,Miduty,56
Wellness,oziva hair vitamins ( dht blocker,1600,809,28,No Tag,2447,Oziva,2.4K
Wellness,be bodywise biotin hair gummies -,1400,549,29,No Tag,9105,Be,9.1K
Wellness,healthkart hk vitals glutathione 15 effervescent,1579,1249,3,No Tag,97,HealthKart,97
Wellness,forest essentials lime saffron & oudh,700,825,19,No Tag,53,Forest,53
Wellness,"oziva acv moringa to control cravings,",1099,1149,5,No Tag,1508,Oziva,1.5K
Wellness,nutrova collagen + antioxidants - cranberry,1799,2575,19,No Tag,94,Nutrova,94
Wellness,plix apple cider vinegar effervescent tablets,909,1000,12,No Tag,518,Plix,518
Wellness,"oziva protein & herbs women( shatavari,",929,1529,11,No Tag,980,OZiva,980
Wellness,plix apple cider vinegar effervescent tablets,445,569,12,No Tag,2391,Plix,2.4K
Wellness,oziva plant based herbalance pcos,1049,1049,0,No Tag,923,OZiva,923
Wellness,forest essentials organic cold pressed virgin,1450,1450,0,No Tag,907,Forest,907
Wellness,trunativ advanced japanese marine type 1,1457,1457,0,No Tag,2,TruNativ,2
Wellness,healthkart hk vitals skin radiance collagen,799,799,0,No Tag,932,HealthKart,932
Wellness,oziva vegan collagen biotin &,826,826,0,No Tag,2269,Oziva,2.3K
Wellness,mcaffeine coffee body polishing oil -,392,392,0,No Tag,16196,MCaffeine,16.2K
Wellness,"wellbeing nutrition melts vital iron, folate,",599,515,14,No Tag,92,Wellbeing,92
Wellness,healthkart hk vitals skin radiance collagen,1398,1169,16,No Tag,163,HealthKart,163
Wellness,healthkart hk vitals glutathione effervescent tablets,759,669,12,No Tag,74,HealthKart,74
Wellness,miduty stop aging trans resveratrol 99%,1199,1600,33,No Tag,32,Miduty,32
Wellness,mountainor deep sea omega 3 fish,499,799,18,No Tag,164,MOUNTAINOR,164
Wellness,kapiva virgin coconut oil (cold pressed),759,409,8,No Tag,2401,Kapiva,2.4K
